drug_name,drug_type,dosage_form,active_ingredient,indication,description,restriction,precautions,source
Midazolam maleate,วัตถุออกฤทธิ์ต่อจิตและประสาทประเภท 2,tab,,,หมวดยา: Anesthesia | หมวดยา: General anesthesia | หมวดยา: Sedative and analgesic peri-operative drugs | ED: ง,ใช้เตรียมผู้ป่วยก่อนให้ยาระงับความรู้สึก (premedication) เท่านั้น โดยเบิกได้วันละไม่เกิน 2 เม็ดต่อผู้ป่วยหนึ่งราย,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Atropine sulfate,,sterile sol,,,หมวดยา: Anesthesia | หมวดยา: General anesthesia | หมวดยา: Anticholinesterases and antimuscarinic drugs used in anesthesia | ED: ก,ใช้แก้ฤทธิ์ยาหย่อนกล้ามเนื้อ,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Neostigmine methylsulfate,,sterile sol,,,หมวดยา: Anesthesia | หมวดยา: General anesthesia | หมวดยา: Anticholinesterases and antimuscarinic drugs used in anesthesia | ED: ก,ใช้แก้ฤทธิ์ยาหย่อนกล้ามเนื้อ,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Dantrolene sodium,ยากำพร้า,sterile pwdr,,,หมวดยา: Anesthesia | หมวดยา: General anesthesia | หมวดยา: Drugs for malignant hyperthermia | ED: ง,ใช้สำหรับ malignant hyperthermia,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Benzocaine,,"gel, oint",,,หมวดยา: Anesthesia | หมวดยา: Local anesthesia | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Lidocaine hydrochloride,,"gel, oint, spray, sterile sol (dental cartridge), sterile sol (local infiltration), viscous sol",,,หมวดยา: Anesthesia | หมวดยา: Local anesthesia | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Lidocaine + Prilocaine,,cream,,,หมวดยา: Anesthesia | หมวดยา: Local anesthesia | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Lidocaine hydrochloride + Epinephrine,,"sterile sol (local infiltration), sterile sol (dental cartridge)",,,หมวดยา: Anesthesia | หมวดยา: Local anesthesia | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Mepivaciane hydrochloride,,sterile sol (dental cartridge),,,หมวดยา: Anesthesia | หมวดยา: Local anesthesia | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Mepivaciane hydrochloride + Epinephrine,,sterile sol (dental cartridge),,,หมวดยา: Anesthesia | หมวดยา: Local anesthesia | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Bupivacaine hydrochloride,,sterile sol,,,หมวดยา: Anesthesia | หมวดยา: Local anesthesia | ED: ข | หมายเหตุ: ใช้ในกรณี local infiltration,,อาจทำให้เกิดพิษต่อหัวใจ,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Bupivacaine hydrochloride,,sterile sol,,,หมวดยา: Anesthesia | หมวดยา: Local anesthesia | ED: ค | หมายเหตุ: ใช้ในกรณี regional anesthesia และ analgesia,,อาจทำให้เกิดพิษต่อหัวใจ,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Lidocaine hydrochloride,,sterile sol,,,หมวดยา: Anesthesia | หมวดยา: Local anesthesia | ED: ค | หมายเหตุ: ใช้ในกรณี regional anesthesia,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Lidocaine hydrochloride + Epinephrine,,sterile sol,,,หมวดยา: Anesthesia | หมวดยา: Local anesthesia | ED: ค | หมายเหตุ: ใช้ในกรณี regional anesthesia,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Acetylcysteine,,sterile sol,,,"หมวดยา: Antidotes | รายละเอียดกลุ่ม 1: ยาในกลุ่มนี้หลายชนิดไม่ปรากฎเป็นยาในบัญชีนี้ เนื่องจากเป็นยากำพร้า (orphan drugs) ที่มีปัญหาการจัดหาและไม่มีทะเบียนตำรับยา แต่ควรส่งเสริมให้มีการจัดหามาใช้และควรอนุมัติให้เบิกค่ายาได้ 
หมายเลขโทรศัพท์ของศูนย์พิษวิทยา เช่น ศูนย์พิษวิทยา ร.พ.รามาธิบดี โทร. 0 2201 1083  ศูนย์พิษวิทยา ร.พ.ศิริราช โทร. 0 2419 7007 | ชื่อพ้อง: N-acetylcysteine | ED: ก",ใช้แก้พิษที่เกิดจากการได้รับ paracetamol เกินขนาด,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Antivenom sera,,inj,"- งูเห่า
 - งูจงอาง
 - งูสามเหลี่ยม
 - งูเขียวหางไหม้
 - งูแมวเซา
 - งูกะปะ
 - งูทับสมิงคลา",,"หมวดยา: Antidotes | รายละเอียดกลุ่ม 1: ยาในกลุ่มนี้หลายชนิดไม่ปรากฎเป็นยาในบัญชีนี้ เนื่องจากเป็นยากำพร้า (orphan drugs) ที่มีปัญหาการจัดหาและไม่มีทะเบียนตำรับยา แต่ควรส่งเสริมให้มีการจัดหามาใช้และควรอนุมัติให้เบิกค่ายาได้ 
หมายเลขโทรศัพท์ของศูนย์พิษวิทยา เช่น ศูนย์พิษวิทยา ร.พ.รามาธิบดี โทร. 0 2201 1083  ศูนย์พิษวิทยา ร.พ.ศิริราช โทร. 0 2419 7007 | ED: ก",,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Polyvalent antivenom for hematotoxin,,inj,,,"หมวดยา: Antidotes | รายละเอียดกลุ่ม 1: ยาในกลุ่มนี้หลายชนิดไม่ปรากฎเป็นยาในบัญชีนี้ เนื่องจากเป็นยากำพร้า (orphan drugs) ที่มีปัญหาการจัดหาและไม่มีทะเบียนตำรับยา แต่ควรส่งเสริมให้มีการจัดหามาใช้และควรอนุมัติให้เบิกค่ายาได้ 
หมายเลขโทรศัพท์ของศูนย์พิษวิทยา เช่น ศูนย์พิษวิทยา ร.พ.รามาธิบดี โทร. 0 2201 1083  ศูนย์พิษวิทยา ร.พ.ศิริราช โทร. 0 2419 7007 | ED: ก",ใช้แก้พิษต่อระบบเลือดในรายที่ถูกงูไม่ทราบชนิดกัด,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Polyvalent antivenom for neurotoxin,,inj,,,"หมวดยา: Antidotes | รายละเอียดกลุ่ม 1: ยาในกลุ่มนี้หลายชนิดไม่ปรากฎเป็นยาในบัญชีนี้ เนื่องจากเป็นยากำพร้า (orphan drugs) ที่มีปัญหาการจัดหาและไม่มีทะเบียนตำรับยา แต่ควรส่งเสริมให้มีการจัดหามาใช้และควรอนุมัติให้เบิกค่ายาได้ 
หมายเลขโทรศัพท์ของศูนย์พิษวิทยา เช่น ศูนย์พิษวิทยา ร.พ.รามาธิบดี โทร. 0 2201 1083  ศูนย์พิษวิทยา ร.พ.ศิริราช โทร. 0 2419 7007 | ED: ก",ใช้แก้พิษต่อระบบประสาทในรายที่ถูกงูไม่ทราบชนิดกัด,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Atropine sulfate,,sterile sol,,,"หมวดยา: Antidotes | รายละเอียดกลุ่ม 1: ยาในกลุ่มนี้หลายชนิดไม่ปรากฎเป็นยาในบัญชีนี้ เนื่องจากเป็นยากำพร้า (orphan drugs) ที่มีปัญหาการจัดหาและไม่มีทะเบียนตำรับยา แต่ควรส่งเสริมให้มีการจัดหามาใช้และควรอนุมัติให้เบิกค่ายาได้ 
หมายเลขโทรศัพท์ของศูนย์พิษวิทยา เช่น ศูนย์พิษวิทยา ร.พ.รามาธิบดี โทร. 0 2201 1083  ศูนย์พิษวิทยา ร.พ.ศิริราช โทร. 0 2419 7007 | ED: ก","ใช้ต้านพิษ cholinesterase inhibitors (เช่น organophosphates, carbamates) และภาวะ cholinergic crisis",,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Benzatropine mesilate,,sterile sol,,,"หมวดยา: Antidotes | รายละเอียดกลุ่ม 1: ยาในกลุ่มนี้หลายชนิดไม่ปรากฎเป็นยาในบัญชีนี้ เนื่องจากเป็นยากำพร้า (orphan drugs) ที่มีปัญหาการจัดหาและไม่มีทะเบียนตำรับยา แต่ควรส่งเสริมให้มีการจัดหามาใช้และควรอนุมัติให้เบิกค่ายาได้ 
หมายเลขโทรศัพท์ของศูนย์พิษวิทยา เช่น ศูนย์พิษวิทยา ร.พ.รามาธิบดี โทร. 0 2201 1083  ศูนย์พิษวิทยา ร.พ.ศิริราช โทร. 0 2419 7007 | ชื่อพ้อง: Benztropine mesylate | ED: ก",ใช้บำบัดภาวะ dystonia เนื่องจากยา,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Calcium gluconate,,sterile sol,,,"หมวดยา: Antidotes | รายละเอียดกลุ่ม 1: ยาในกลุ่มนี้หลายชนิดไม่ปรากฎเป็นยาในบัญชีนี้ เนื่องจากเป็นยากำพร้า (orphan drugs) ที่มีปัญหาการจัดหาและไม่มีทะเบียนตำรับยา แต่ควรส่งเสริมให้มีการจัดหามาใช้และควรอนุมัติให้เบิกค่ายาได้ 
หมายเลขโทรศัพท์ของศูนย์พิษวิทยา เช่น ศูนย์พิษวิทยา ร.พ.รามาธิบดี โทร. 0 2201 1083  ศูนย์พิษวิทยา ร.พ.ศิริราช โทร. 0 2419 7007 | ED: ก | หมายเหตุ: ให้ฉีดเข้าเส้นเลือดอย่างช้าๆ การฉีดเร็วอาจทำให้ผู้ป่วยเสียชีวิตได้",ใช้บำบัดพิษที่เกิดจาก hydrofluoric acid และ calcium channel blockers,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
"Charcoal, activated",,pwdr,,,"หมวดยา: Antidotes | รายละเอียดกลุ่ม 1: ยาในกลุ่มนี้หลายชนิดไม่ปรากฎเป็นยาในบัญชีนี้ เนื่องจากเป็นยากำพร้า (orphan drugs) ที่มีปัญหาการจัดหาและไม่มีทะเบียนตำรับยา แต่ควรส่งเสริมให้มีการจัดหามาใช้และควรอนุมัติให้เบิกค่ายาได้ 
หมายเลขโทรศัพท์ของศูนย์พิษวิทยา เช่น ศูนย์พิษวิทยา ร.พ.รามาธิบดี โทร. 0 2201 1083  ศูนย์พิษวิทยา ร.พ.ศิริราช โทร. 0 2419 7007 | ED: ก",ใช้ดูดซับสารพิษทั่วไป,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Diazepam,วัตถุที่ออกฤทธิ์ต่อจิตและประสาทประเภท 4,sterile sol,,,"หมวดยา: Antidotes | รายละเอียดกลุ่ม 1: ยาในกลุ่มนี้หลายชนิดไม่ปรากฎเป็นยาในบัญชีนี้ เนื่องจากเป็นยากำพร้า (orphan drugs) ที่มีปัญหาการจัดหาและไม่มีทะเบียนตำรับยา แต่ควรส่งเสริมให้มีการจัดหามาใช้และควรอนุมัติให้เบิกค่ายาได้ 
หมายเลขโทรศัพท์ของศูนย์พิษวิทยา เช่น ศูนย์พิษวิทยา ร.พ.รามาธิบดี โทร. 0 2201 1083  ศูนย์พิษวิทยา ร.พ.ศิริราช โทร. 0 2419 7007 | ED: ก",ใช้บำบัดอาการชักที่เกิดจากยาหรือ สารพิษ,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Diphenhydramine hydrochloride,ยากำพร้า,"cap, sterile sol",,,"หมวดยา: Antidotes | รายละเอียดกลุ่ม 1: ยาในกลุ่มนี้หลายชนิดไม่ปรากฎเป็นยาในบัญชีนี้ เนื่องจากเป็นยากำพร้า (orphan drugs) ที่มีปัญหาการจัดหาและไม่มีทะเบียนตำรับยา แต่ควรส่งเสริมให้มีการจัดหามาใช้และควรอนุมัติให้เบิกค่ายาได้ 
หมายเลขโทรศัพท์ของศูนย์พิษวิทยา เช่น ศูนย์พิษวิทยา ร.พ.รามาธิบดี โทร. 0 2201 1083  ศูนย์พิษวิทยา ร.พ.ศิริราช โทร. 0 2419 7007 | ED: ก",ใช้บำบัดภาวะ dystonia เนื่องจากยาในเด็กและในผู้ใหญ่,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Ethanol,ยากำพร้า,"sterile sol, sterile sol (hosp)",,,"หมวดยา: Antidotes | รายละเอียดกลุ่ม 1: ยาในกลุ่มนี้หลายชนิดไม่ปรากฎเป็นยาในบัญชีนี้ เนื่องจากเป็นยากำพร้า (orphan drugs) ที่มีปัญหาการจัดหาและไม่มีทะเบียนตำรับยา แต่ควรส่งเสริมให้มีการจัดหามาใช้และควรอนุมัติให้เบิกค่ายาได้ 
หมายเลขโทรศัพท์ของศูนย์พิษวิทยา เช่น ศูนย์พิษวิทยา ร.พ.รามาธิบดี โทร. 0 2201 1083  ศูนย์พิษวิทยา ร.พ.ศิริราช โทร. 0 2419 7007 | ED: ก",ใช้บำบัดพิษจาก methanol และ ethylene glycol,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Macrogols  with electrolytes,,"oral pwdr , oral pwdr (hosp)",,,"หมวดยา: Antidotes | รายละเอียดกลุ่ม 1: ยาในกลุ่มนี้หลายชนิดไม่ปรากฎเป็นยาในบัญชีนี้ เนื่องจากเป็นยากำพร้า (orphan drugs) ที่มีปัญหาการจัดหาและไม่มีทะเบียนตำรับยา แต่ควรส่งเสริมให้มีการจัดหามาใช้และควรอนุมัติให้เบิกค่ายาได้ 
หมายเลขโทรศัพท์ของศูนย์พิษวิทยา เช่น ศูนย์พิษวิทยา ร.พ.รามาธิบดี โทร. 0 2201 1083  ศูนย์พิษวิทยา ร.พ.ศิริราช โทร. 0 2419 7007 | ชื่อพ้อง: Polyethylene glycol, PEG | ED: ก",ใช้ทำหัตถการล้างกระเพาะและลำไส้ (whole bowel irrigation) กรณีได้รับสารพิษ หรือล้างผิวหนังกรณีสัมผัส phenol,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Naloxone hydrochloride,,sterile sol,,,"หมวดยา: Antidotes | รายละเอียดกลุ่ม 1: ยาในกลุ่มนี้หลายชนิดไม่ปรากฎเป็นยาในบัญชีนี้ เนื่องจากเป็นยากำพร้า (orphan drugs) ที่มีปัญหาการจัดหาและไม่มีทะเบียนตำรับยา แต่ควรส่งเสริมให้มีการจัดหามาใช้และควรอนุมัติให้เบิกค่ายาได้ 
หมายเลขโทรศัพท์ของศูนย์พิษวิทยา เช่น ศูนย์พิษวิทยา ร.พ.รามาธิบดี โทร. 0 2201 1083  ศูนย์พิษวิทยา ร.พ.ศิริราช โทร. 0 2419 7007 | ED: ก","1. ใช้บำบัดอาการพิษจากสารกลุ่ม opioids และ clonidine 
2. ใช้บำบัดภาวะกดการหายใจที่ไม่ทราบสาเหตุ",,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Pralidoxime chloride,,sterile pwdr,,,"หมวดยา: Antidotes | รายละเอียดกลุ่ม 1: ยาในกลุ่มนี้หลายชนิดไม่ปรากฎเป็นยาในบัญชีนี้ เนื่องจากเป็นยากำพร้า (orphan drugs) ที่มีปัญหาการจัดหาและไม่มีทะเบียนตำรับยา แต่ควรส่งเสริมให้มีการจัดหามาใช้และควรอนุมัติให้เบิกค่ายาได้ 
หมายเลขโทรศัพท์ของศูนย์พิษวิทยา เช่น ศูนย์พิษวิทยา ร.พ.รามาธิบดี โทร. 0 2201 1083  ศูนย์พิษวิทยา ร.พ.ศิริราช โทร. 0 2419 7007 | ชื่อพ้อง: 2-PAM | ED: ก",ใช้บำบัดพิษที่เกิดจาก organophosphates,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Sodium bicarbonate,,sterile sol (เฉพาะ 44.6 mEq),,,"หมวดยา: Antidotes | รายละเอียดกลุ่ม 1: ยาในกลุ่มนี้หลายชนิดไม่ปรากฎเป็นยาในบัญชีนี้ เนื่องจากเป็นยากำพร้า (orphan drugs) ที่มีปัญหาการจัดหาและไม่มีทะเบียนตำรับยา แต่ควรส่งเสริมให้มีการจัดหามาใช้และควรอนุมัติให้เบิกค่ายาได้ 
หมายเลขโทรศัพท์ของศูนย์พิษวิทยา เช่น ศูนย์พิษวิทยา ร.พ.รามาธิบดี โทร. 0 2201 1083  ศูนย์พิษวิทยา ร.พ.ศิริราช โทร. 0 2419 7007 | ED: ก","1. ใช้บำบัดภาวะ hyperkalemia และพิษที่เกิดจากสาร  tricyclic antidepressants, antiarrythmics type I   
2. ใช้ปรับปัสสาวะให้เป็นด่าง เพื่อเร่งการกำจัดสารพิษ เช่น salicylates, metformin, phenformin เป็นต้น",,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Vitamin K1,,sterile sol,,,"หมวดยา: Antidotes | รายละเอียดกลุ่ม 1: ยาในกลุ่มนี้หลายชนิดไม่ปรากฎเป็นยาในบัญชีนี้ เนื่องจากเป็นยากำพร้า (orphan drugs) ที่มีปัญหาการจัดหาและไม่มีทะเบียนตำรับยา แต่ควรส่งเสริมให้มีการจัดหามาใช้และควรอนุมัติให้เบิกค่ายาได้ 
หมายเลขโทรศัพท์ของศูนย์พิษวิทยา เช่น ศูนย์พิษวิทยา ร.พ.รามาธิบดี โทร. 0 2201 1083  ศูนย์พิษวิทยา ร.พ.ศิริราช โทร. 0 2419 7007 | ชื่อพ้อง: Phytomenadione | ED: ก",ใช้บำบัดพิษจากยา anticoagulants (coumarin derivatives),,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
